user_id,total_votes,unique_days,first_vote,last_vote,active_days,cohort_day,retention_day8,ret_group,ret_group_over,ret_group_under,gender,group_id,school_id,grade,total_votes_received,opposite_votes_received,opposite_vote_ratio,same_gender_votes_received
849497,173,7,2023-04-28,2023-05-07,9,2023-04-28,0.56,50 이상,50 이상,,F,3950.0,271.0,2.0,240,32,0.13333333333333333,208
849498,37,3,2023-04-28,2023-05-12,14,2023-04-28,0.56,50 이상,50 이상,,F,356.0,271.0,2.0,188,68,0.3617021276595745,120
849502,2,2,2023-04-28,2023-05-02,4,2023-04-28,0.56,50 이상,50 이상,,M,356.0,271.0,2.0,170,25,0.14705882352941177,145
849503,937,18,2023-04-28,2023-05-29,31,2023-04-28,0.56,50 이상,50 이상,,F,3947.0,271.0,2.0,239,89,0.3723849372384937,150
849504,321,10,2023-04-28,2023-06-02,35,2023-04-28,0.56,50 이상,50 이상,,F,3947.0,271.0,2.0,383,86,0.2245430809399478,297
849512,521,12,2023-04-28,2023-05-26,28,2023-04-28,0.56,50 이상,50 이상,,M,757.0,271.0,2.0,326,59,0.18098159509202455,267
849515,235,14,2023-04-28,2023-06-06,39,2023-04-28,0.56,50 이상,50 이상,,M,757.0,271.0,2.0,228,47,0.20614035087719298,181
849526,494,19,2023-04-28,2023-05-19,21,2023-04-28,0.56,50 이상,50 이상,,F,3939.0,271.0,2.0,226,130,0.5752212389380531,96
849528,248,10,2023-04-29,2023-05-21,22,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,757.0,271.0,2.0,228,62,0.2719298245614035,166
849535,168,6,2023-04-28,2023-05-11,13,2023-04-28,0.56,50 이상,50 이상,,M,3947.0,271.0,2.0,159,92,0.5786163522012578,67
849541,43,4,2023-04-28,2023-05-02,4,2023-04-28,0.56,50 이상,50 이상,,F,3947.0,271.0,2.0,191,50,0.2617801047120419,141
849543,966,23,2023-04-28,2023-05-30,32,2023-04-28,0.56,50 이상,50 이상,,M,3942.0,271.0,2.0,357,121,0.3389355742296919,236
849548,301,13,2023-04-28,2023-05-27,29,2023-04-28,0.56,50 이상,50 이상,,F,3959.0,271.0,2.0,370,101,0.27297297297297296,269
849549,248,11,2023-04-28,2023-05-09,11,2023-04-28,0.56,50 이상,50 이상,,M,3942.0,271.0,2.0,299,89,0.2976588628762542,210
849558,284,11,2023-04-28,2023-05-16,18,2023-04-28,0.56,50 이상,50 이상,,F,356.0,271.0,2.0,297,26,0.08754208754208755,271
849559,766,24,2023-04-28,2023-05-21,23,2023-04-28,0.56,50 이상,50 이상,,F,3959.0,271.0,2.0,345,43,0.1246376811594203,302
849566,156,8,2023-04-28,2023-06-10,43,2023-04-28,0.56,50 이상,50 이상,,F,3947.0,271.0,2.0,135,31,0.22962962962962963,104
849582,116,5,2023-04-29,2023-05-04,5,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3966.0,271.0,2.0,182,48,0.26373626373626374,134
849620,415,16,2023-04-28,2023-05-21,23,2023-04-28,0.56,50 이상,50 이상,,F,356.0,271.0,2.0,146,14,0.0958904109589041,132
849623,35,9,2023-05-02,2023-06-02,31,2023-05-02,0.5694444444444444,50 이상,50 이상,,M,3946.0,271.0,2.0,237,58,0.24472573839662448,179
849634,524,12,2023-04-28,2023-05-13,15,2023-04-28,0.56,50 이상,50 이상,,M,3950.0,271.0,2.0,249,92,0.36947791164658633,157
849670,154,5,2023-04-28,2023-05-04,6,2023-04-28,0.56,50 이상,50 이상,,F,603.0,271.0,2.0,280,65,0.23214285714285715,215
849682,121,10,2023-04-28,2023-05-26,28,2023-04-28,0.56,50 이상,50 이상,,F,3947.0,271.0,2.0,142,13,0.09154929577464789,129
849692,599,11,2023-04-28,2023-05-26,28,2023-04-28,0.56,50 이상,50 이상,,M,603.0,271.0,2.0,216,43,0.19907407407407407,173
849762,250,11,2023-04-28,2023-05-16,18,2023-04-28,0.56,50 이상,50 이상,,M,356.0,271.0,2.0,328,83,0.2530487804878049,245
849864,315,11,2023-04-28,2023-05-11,13,2023-04-28,0.56,50 이상,50 이상,,M,4048.0,271.0,2.0,197,96,0.4873096446700508,101
849922,507,9,2023-04-28,2023-05-08,10,2023-04-28,0.56,50 이상,50 이상,,M,3944.0,271.0,2.0,512,184,0.359375,328
849928,44,10,2023-04-28,2023-07-05,68,2023-04-28,0.56,50 이상,50 이상,,M,356.0,271.0,2.0,100,25,0.25,75
849938,53,12,2023-04-28,2023-05-28,30,2023-04-28,0.56,50 이상,50 이상,,M,356.0,271.0,2.0,33,12,0.36363636363636365,21
849946,79,5,2023-04-28,2023-05-05,7,2023-04-28,0.56,50 이상,50 이상,,F,356.0,271.0,2.0,150,20,0.13333333333333333,130
