user_id,gender,school_id,grade,total_votes_received,opposite_votes_received,opposite_vote_ratio
859433,M,271.0,1.0,59,19,0.3220338983050847
859641,M,271.0,1.0,153,72,0.47058823529411764
859697,M,271.0,1.0,28,5,0.17857142857142858
859698,M,271.0,1.0,60,37,0.6166666666666667
859802,F,271.0,1.0,130,73,0.5615384615384615
860005,M,271.0,1.0,68,29,0.4264705882352941
860125,F,352.0,3.0,54,9,0.16666666666666666
860230,F,271.0,2.0,136,52,0.38235294117647056
860280,F,271.0,1.0,160,22,0.1375
860304,F,352.0,1.0,165,82,0.49696969696969695
860318,M,271.0,1.0,183,101,0.5519125683060109
860697,M,271.0,1.0,68,11,0.16176470588235295
860864,F,4516.0,1.0,226,32,0.1415929203539823
860874,M,5491.0,3.0,32,14,0.4375
860931,F,271.0,1.0,78,51,0.6538461538461539
861058,M,271.0,1.0,124,65,0.5241935483870968
861106,F,271.0,2.0,32,7,0.21875
861158,F,271.0,1.0,101,21,0.2079207920792079
861223,F,271.0,1.0,408,88,0.21568627450980393
861452,M,271.0,1.0,98,17,0.17346938775510204
861461,F,271.0,1.0,236,116,0.4915254237288136
861491,M,271.0,1.0,8,4,0.5
861566,M,271.0,1.0,245,38,0.15510204081632653
861710,M,271.0,1.0,283,77,0.27208480565371024
861733,M,271.0,1.0,146,50,0.3424657534246575
861995,F,271.0,1.0,134,15,0.11194029850746269
862102,F,271.0,1.0,135,87,0.6444444444444445
862143,M,271.0,1.0,151,80,0.5298013245033113
862187,F,369.0,1.0,126,13,0.10317460317460317
862363,M,271.0,1.0,86,11,0.12790697674418605
862583,F,5491.0,2.0,343,39,0.11370262390670553
862947,M,5491.0,1.0,121,31,0.256198347107438
863069,F,271.0,2.0,72,14,0.19444444444444445
863154,F,271.0,1.0,83,27,0.3253012048192771
863160,F,271.0,1.0,48,13,0.2708333333333333
863169,F,271.0,1.0,1,0,0.0
863211,M,271.0,1.0,57,15,0.2631578947368421
863328,M,271.0,1.0,69,35,0.5072463768115942
863409,M,271.0,1.0,386,112,0.29015544041450775
863427,M,271.0,1.0,215,28,0.13023255813953488
863476,M,271.0,1.0,410,244,0.5951219512195122
863661,F,271.0,1.0,130,22,0.16923076923076924
863773,F,271.0,2.0,4,0,0.0
864014,F,271.0,1.0,104,9,0.08653846153846154
864338,F,271.0,1.0,97,32,0.32989690721649484
864524,F,271.0,1.0,183,27,0.14754098360655737
864668,F,369.0,3.0,179,80,0.44692737430167595
864897,F,271.0,1.0,301,26,0.08637873754152824
865130,F,271.0,2.0,26,10,0.38461538461538464
865270,F,271.0,1.0,94,9,0.09574468085106383
865423,F,271.0,1.0,51,1,0.0196078431372549
865629,M,271.0,1.0,82,27,0.32926829268292684
865649,F,271.0,2.0,17,5,0.29411764705882354
865697,M,369.0,1.0,701,246,0.3509272467902996
865901,M,271.0,2.0,114,33,0.2894736842105263
865904,F,271.0,1.0,220,81,0.36818181818181817
865953,M,271.0,1.0,215,64,0.29767441860465116
865954,M,271.0,1.0,247,120,0.48582995951417
866039,F,5491.0,1.0,113,40,0.35398230088495575
866059,M,271.0,1.0,128,68,0.53125
866250,F,271.0,1.0,76,18,0.23684210526315788
866585,M,4516.0,1.0,379,108,0.2849604221635884
866678,F,4516.0,1.0,431,262,0.6078886310904872
866779,F,271.0,1.0,389,223,0.5732647814910026
866940,M,5491.0,1.0,80,11,0.1375
867084,F,271.0,1.0,44,1,0.022727272727272728
867349,F,369.0,1.0,304,103,0.33881578947368424
867364,F,369.0,1.0,253,69,0.2727272727272727
867483,M,4516.0,1.0,274,57,0.20802919708029197
867872,F,271.0,1.0,176,45,0.2556818181818182
867992,F,4516.0,1.0,249,89,0.357429718875502
868276,F,369.0,1.0,155,22,0.14193548387096774
868277,F,369.0,1.0,168,61,0.3630952380952381
868425,F,369.0,1.0,66,18,0.2727272727272727
868492,M,271.0,1.0,20,14,0.7
868628,M,271.0,1.0,77,16,0.2077922077922078
868686,F,271.0,1.0,29,0,0.0
868687,F,271.0,1.0,19,17,0.8947368421052632
