user_id,total_votes,unique_days,first_vote,last_vote,active_days,cohort_day,retention_day8,ret_group,ret_group_over,ret_group_under,gender,group_id,school_id,grade
887778,37,4,2023-05-05,2023-05-17,12,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,10276.0,4516.0,2.0
887817,149,9,2023-05-05,2023-05-23,18,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,2414.0,352.0,1.0
887864,54,4,2023-05-05,2023-05-09,4,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,2414.0,352.0,1.0
887872,35,6,2023-05-05,2023-05-17,12,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,2414.0,352.0,1.0
887879,173,9,2023-05-05,2023-05-14,9,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,12343.0,352.0,1.0
887898,151,7,2023-05-06,2023-05-17,11,2023-05-06,0.32786885245901637,50 미만,,50 미만,M,9350.0,4516.0,1.0
887914,139,7,2023-05-05,2023-05-16,11,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,12003.0,352.0,2.0
887921,145,4,2023-05-05,2023-05-09,4,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,10276.0,4516.0,2.0
887924,134,10,2023-05-08,2023-05-21,13,2023-05-08,0.4899328859060403,50 미만,,50 미만,F,8545.0,4516.0,1.0
887997,93,10,2023-05-05,2023-05-24,19,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,6875.0,352.0,1.0
888019,49,7,2023-05-05,2023-05-21,16,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,2697.0,352.0,1.0
888059,264,8,2023-05-05,2023-05-12,7,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,9568.0,4516.0,1.0
888063,109,9,2023-05-05,2023-05-18,13,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,12022.0,352.0,1.0
888103,2,1,2023-05-05,2023-05-05,0,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,9893.0,352.0,2.0
888121,468,18,2023-05-05,2023-05-25,20,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,10259.0,4516.0,1.0
888131,128,3,2023-05-05,2023-05-07,2,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,10276.0,4516.0,2.0
888148,197,10,2023-05-06,2023-05-18,12,2023-05-06,0.32786885245901637,50 미만,,50 미만,F,9081.0,369.0,1.0
888155,106,4,2023-05-05,2023-05-08,3,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,12076.0,352.0,1.0
888176,141,5,2023-05-05,2023-05-16,11,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,9505.0,4516.0,2.0
888177,192,4,2023-05-05,2023-05-08,3,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,9393.0,4516.0,2.0
888198,176,6,2023-05-05,2023-05-17,12,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,12810.0,352.0,3.0
888202,197,7,2023-05-05,2023-05-13,8,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,12022.0,352.0,1.0
888210,158,8,2023-05-05,2023-05-20,15,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,9350.0,4516.0,1.0
888212,10,4,2023-05-06,2023-05-10,4,2023-05-06,0.32786885245901637,50 미만,,50 미만,F,12277.0,352.0,1.0
888262,195,8,2023-05-05,2023-05-22,17,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,12022.0,352.0,1.0
888267,281,9,2023-05-05,2023-05-15,10,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,1073.0,352.0,2.0
888273,195,8,2023-05-05,2023-05-15,10,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,12277.0,352.0,1.0
888277,127,10,2023-05-05,2023-05-25,20,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,9568.0,4516.0,1.0
888279,146,8,2023-05-05,2023-05-12,7,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,1073.0,352.0,2.0
888287,23,3,2023-05-10,2023-05-13,3,2023-05-10,0.6184971098265896,50 이상,50 이상,,M,12277.0,352.0,1.0
888298,10,1,2023-05-05,2023-05-05,0,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,12015.0,352.0,2.0
888356,16,3,2023-05-05,2023-05-15,10,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,10168.0,369.0,3.0
888374,190,12,2023-05-05,2023-05-23,18,2023-05-05,0.3165137614678899,50 미만,,50 미만,F,12277.0,352.0,1.0
888377,98,3,2023-05-05,2023-05-07,2,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,12209.0,352.0,2.0
888437,14,3,2023-05-05,2023-05-07,2,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,9403.0,4516.0,1.0
888453,14,3,2023-05-05,2023-05-18,13,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,12147.0,352.0,1.0
888470,132,7,2023-05-05,2023-05-16,11,2023-05-05,0.3165137614678899,50 미만,,50 미만,M,11243.0,352.0,2.0
