user_id,total_votes,unique_days,first_vote,last_vote,active_days,cohort_day,retention_day8,ret_group,ret_group_over,ret_group_under,gender,group_id,school_id,grade,total_votes_received,opposite_votes_received,opposite_vote_ratio,same_gender_votes_received
849498,20,2,2023-04-29,2023-05-12,13,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,356.0,271.0,2.0,188,68,0.3617021276595745,120
849502,1,1,2023-05-02,2023-05-02,0,2023-05-02,0.5694444444444444,50 이상,50 이상,,M,356.0,271.0,2.0,170,25,0.14705882352941177,145
849503,849,15,2023-04-29,2023-05-25,26,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3947.0,271.0,2.0,241,91,0.3775933609958506,150
849504,277,7,2023-04-29,2023-05-11,12,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3947.0,271.0,2.0,383,86,0.2245430809399478,297
849512,505,10,2023-04-29,2023-05-08,9,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,757.0,271.0,2.0,327,59,0.18042813455657492,268
849515,219,12,2023-04-29,2023-05-23,24,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,757.0,271.0,2.0,230,47,0.20434782608695654,183
849526,491,18,2023-04-29,2023-05-19,20,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3939.0,271.0,2.0,227,131,0.5770925110132159,96
849528,248,10,2023-04-29,2023-05-21,22,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,757.0,271.0,2.0,229,63,0.27510917030567683,166
849535,111,5,2023-04-29,2023-05-11,12,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3947.0,271.0,2.0,159,92,0.5786163522012578,67
849541,39,3,2023-04-29,2023-05-02,3,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3947.0,271.0,2.0,191,50,0.2617801047120419,141
849543,900,19,2023-04-29,2023-05-25,26,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3942.0,271.0,2.0,358,121,0.33798882681564246,237
849548,246,11,2023-04-29,2023-05-16,17,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3959.0,271.0,2.0,370,101,0.27297297297297296,269
849549,237,10,2023-04-29,2023-05-09,10,2023-04-29,0.5151515151515151,50 이상,50 이상,,M,3942.0,271.0,2.0,299,89,0.2976588628762542,210
849558,268,10,2023-04-29,2023-05-16,17,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,356.0,271.0,2.0,297,26,0.08754208754208755,271
849559,747,23,2023-04-29,2023-05-21,22,2023-04-29,0.5151515151515151,50 이상,50 이상,,F,3959.0,271.0,2.0,346,43,0.12427745664739884,303
